s,P
0.854,0.10604071715920439
0.855,0.10602033420353084
0.856,0.1059999189481244
0.857,0.10597947072525438
0.858,0.10595898886719018
0.859,0.10593847270620114
0.86,0.10591792157455662
0.861,0.10589733480452597
0.862,0.10587671172837856
0.863,0.1058560516783837
0.864,0.10583535398681078
0.865,0.10581461798592912
0.866,0.10579384300800816
0.867,0.10577302838531712
0.868,0.10575217345012546
0.869,0.10573127753470248
0.87,0.10571033997131754
0.871,0.10568936009224002
0.872,0.10566833722973927
0.873,0.10564727071608461
0.874,0.10562615988354541
0.875,0.10560500406439104
0.876,0.10558380259089083
0.877,0.10556255479531418
0.878,0.10554126000993037
0.879,0.1055199175670088
0.88,0.10549852679881881
0.881,0.10547708703762977
0.882,0.10545559761571101
0.883,0.10543405786533193
0.884,0.10541246712705225
0.885,0.10539082518820163
0.886,0.10536913250094646
0.887,0.10534738957152898
0.888,0.10532559690619138
0.889,0.10530375501117582
0.89,0.10528186439272455
0.891,0.10525992555707972
0.892,0.10523793901048355
0.893,0.10521590525917826
0.894,0.10519382480940599
0.895,0.10517169816740894
0.896,0.10514952583942935
0.897,0.10512730833170941
0.898,0.10510504615049127
0.899,0.10508273980201716
0.9,0.10506038979252925
0.901,0.10503799662826975
0.902,0.10501556081548086
0.903,0.10499308286040479
0.904,0.10497056326928371
0.905,0.1049480025483598
0.906,0.10492540120387528
0.907,0.10490275974207236
0.908,0.10488007866919323
0.909,0.10485735849148005
0.91,0.10483459971517504
0.911,0.10481180284652039
0.912,0.10478896839175829
0.913,0.10476609685713095
0.914,0.10474318874888058
0.915,0.10472024457324934
0.916,0.10469726483647944
0.917,0.10467425004481305
0.918,0.10465120070449244
0.919,0.10462811732175971
0.92,0.10460500040285713
0.921,0.10458185045402683
0.922,0.10455866798151105
0.923,0.10453545349155198
0.924,0.10451220749039183
0.925,0.10448893048427275
0.926,0.10446562297943697
0.927,0.10444228548212667
0.928,0.10441891849858408
0.929,0.10439552253505133
0.93,0.10437209809777065
0.931,0.10434864569298426
0.932,0.10432516582693432
0.933,0.10430165900449546
0.934,0.10427812557582262
0.935,0.10425456559619983
0.936,0.1042309790878035
0.937,0.10420736607281003
0.9380000000000001,0.1041837265733958
0.9390000000000001,0.10416006061173723
0.9400000000000001,0.10413636821001065
0.9410000000000001,0.10411264939039251
0.9420000000000001,0.10408890417505917
0.9430000000000001,0.10406513258618706
0.9440000000000001,0.10404133464595253
0.9450000000000001,0.10401751037653201
0.9460000000000001,0.10399365980010186
0.9470000000000001,0.1039697829388385
0.9480000000000001,0.1039458798149183
0.9490000000000001,0.10392195045051769
0.9500000000000001,0.10389799486781301
0.9510000000000001,0.10387401308898069
0.9520000000000001,0.1038500051361971
0.9530000000000001,0.10382597103163863
0.9540000000000001,0.10380191079748172
0.9550000000000001,0.10377782445590274
0.9560000000000001,0.10375371202907804
